auction_action,auction_state,directional_alignment,index,persisted_signal_action,selected_candidate_id,selected_opportunity_key,signal_action,signal_stage,signal_status,signal_status_reason,snapshot_time,symbol
NO_LOCAL_OPPORTUNITY,UNKNOWN,,1,,,,NO_ACTION,,,,2026-07-20T09:15:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,UNKNOWN,,2,,,,NO_ACTION,,,,2026-07-20T09:18:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,UNKNOWN,,3,,,,NO_ACTION,,,,2026-07-20T09:21:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,UNKNOWN,,4,,,,NO_ACTION,,,,2026-07-20T09:24:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,UNKNOWN,,5,,,,NO_ACTION,,,,2026-07-20T09:27:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,UNKNOWN,,6,,,,NO_ACTION,,,,2026-07-20T09:30:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,BOUNDARY_INTERACTION,,7,,,,NO_ACTION,,,,2026-07-20T09:33:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,BOUNDARY_INTERACTION,,8,,,,NO_ACTION,,,,2026-07-20T09:36:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,FRESH_EXPANSION,,9,,,,NO_ACTION,,,,2026-07-20T09:39:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,FRESH_EXPANSION,,10,,,,NO_ACTION,,,,2026-07-20T09:42:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,ORDERLY_UPTREND,,11,,,,NO_ACTION,,,,2026-07-20T09:45:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,ORDERLY_UPTREND,,12,,,,NO_ACTION,,,,2026-07-20T09:48:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,ORDERLY_UPTREND,,13,,,,NO_ACTION,,,,2026-07-20T09:51:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,ORDERLY_UPTREND,,14,,,,NO_ACTION,,,,2026-07-20T09:54:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,ORDERLY_UPTREND,,15,,,,NO_ACTION,,,,2026-07-20T09:57:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,CONTROLLED_PULLBACK,,16,,,,NO_ACTION,,,,2026-07-20T10:00:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,REACCELERATION,,17,,,,NO_ACTION,,,,2026-07-20T10:03:00+05:30,COFORGE
NO_LOCAL_OPPORTUNITY,REACCELERATION,,18,,,,NO_ACTION,,,,2026-07-20T10:06:00+05:30,COFORGE
