auction_action,auction_state,current_profit_r,current_stop_price,current_target_price,directional_alignment,entry_exec_time,entry_intent_time,entry_status,entry_time,equity_ref,executed_entry_price,executed_exit_price,executed_exit_qty,execution_mode,exit_exec_time,exit_intent_time,exit_pnl,exit_reason,exit_rule,exit_status,group_role,instrument_type,last_pnl,last_pnl_value,last_price,last_time,last_update_reason,lifecycle_trade_action,management_posture,management_reason_code,max_price,mfe_profit_r,min_price,planned_entry_price,quantity,should_exit_signal,signal_id,signal_stage,signal_status,source,symbol,trade_id,trade_management_mode,trade_management_version,trade_posture,trade_type,userid
,,-2.4070376414022516,385.8978071672163,386.39634527869384,,2026-07-23T11:06:00,2026-07-23T11:06:00,FILLED,2026-07-23T11:06:00,KOTAKBANK,385.15,383.95,6,VIRTUAL,2026-07-23T11:27:00,2026-07-23T11:27:00,-7.2,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit:ADAPTIVE_STOP:exit_on_current_adaptive_stop,FILLED,FOLLOWER,EQ,-1.2,-7.2,383.95,2026-07-23T11:27:00,FOLLOW_GROUP_REFERENCE_FUT_2:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,385.75,1.2035188207011258,383.95,385.15,6,False,afd5f4e1-ca46-5ca0-97de-4da9e4daa48c,,,TRADE_GENERATOR,KOTAKBANK,1,AUCTION_ADAPTIVE_V2,2,HOLD,BUY,DR1812
LOCAL_CONFIRMED,ORDERLY_UPTREND,-0.2005864701168543,388.2478071672163,388.7463452786938,ALIGNED,2026-07-23T11:06:00,2026-07-23T11:06:00,FILLED,2026-07-23T11:06:00,KOTAKBANK,387.5,387.4,2000,VIRTUAL,2026-07-23T11:27:00,2026-07-23T11:27:00,-200.0,ADAPTIVE_STOP,exit_on_current_adaptive_stop,FILLED,REFERENCE,FUT,-0.1,-200.0,387.4,2026-07-23T11:27:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_UPTREND_ALIGNED,388.5,2.0058647011685427,387.4,387.5,2000,False,afd5f4e1-ca46-5ca0-97de-4da9e4daa48c,ACTIVE,OPEN,TRADE_GENERATOR,KOTAKBANK26AUGFUT,2,AUCTION_ADAPTIVE_V2,2,HOLD,BUY,DR1812
,,-1.0029323505842713,11.37390358360815,11.62317263934691,,2026-07-23T11:06:00,2026-07-23T11:06:00,FILLED,2026-07-23T11:06:00,KOTAKBANK,11.0,10.75,2000,VIRTUAL,2026-07-23T11:27:00,2026-07-23T11:27:00,-500.0,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit:ADAPTIVE_STOP:exit_on_current_adaptive_stop,FILLED,FOLLOWER,CE,-0.25,-500.0,10.75,2026-07-23T11:27:00,FOLLOW_GROUP_REFERENCE_FUT_2:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,11.4,1.6046917609348343,10.75,11.0,2000,False,afd5f4e1-ca46-5ca0-97de-4da9e4daa48c,,,TRADE_GENERATOR,KOTAKBANK26AUG385CE,3,AUCTION_ADAPTIVE_V2,2,HOLD,BUY,DR1812
,,3.968797528033829,2717.333594993683,2707.6077272145008,,2026-07-23T11:12:00,2026-07-23T11:12:00,FILLED,2026-07-23T11:12:00,SRF,2761.1,2722.5,1,VIRTUAL,2026-07-23T11:27:00,2026-07-23T11:27:00,38.6,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit:ADAPTIVE_STOP:exit_on_current_adaptive_stop,FILLED,FOLLOWER,EQ,38.6,38.6,2722.5,2026-07-23T11:27:00,FOLLOW_GROUP_REFERENCE_FUT_5:TARGET_HIT_EXPANDED_5_STEP_TO_5.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,2761.1,4.431481177675079,2718.0,2761.1,1,False,11096493-7e6e-53a6-ab7a-2288773cc93d,,,TRADE_GENERATOR,SRF,4,AUCTION_ADAPTIVE_V2,2,EXPAND,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,3.3827315718215796,2731.233594993683,2721.507727214501,ALIGNED,2026-07-23T11:12:00,2026-07-23T11:12:00,FILLED,2026-07-23T11:12:00,SRF,2775.0,2742.1,200,VIRTUAL,2026-07-23T11:27:00,2026-07-23T11:27:00,6580.0,ADAPTIVE_STOP,exit_on_current_adaptive_stop,FILLED,REFERENCE,FUT,32.9,6580.0,2742.1,2026-07-23T11:27:00,EXPAND_READY_STAGE_ACTIVE_PROFIT_R_3.38,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,2775.6,5.1409294404583274,2725.0,2775.0,200,False,11096493-7e6e-53a6-ab7a-2288773cc93d,ACTIVE,OPEN,TRADE_GENERATOR,SRF26AUGFUT,5,AUCTION_ADAPTIVE_V2,2,EXPAND,SELL,DR1812
,,5.192338734862911,127.1332025031585,131.99613639274955,,2026-07-23T11:12:00,2026-07-23T11:12:00,FILLED,2026-07-23T11:12:00,SRF,105.25,130.5,200,VIRTUAL,2026-07-23T11:27:00,2026-07-23T11:27:00,5050.0,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit:ADAPTIVE_STOP:exit_on_current_adaptive_stop,FILLED,FOLLOWER,PE,25.25,5050.0,130.5,2026-07-23T11:27:00,FOLLOW_GROUP_REFERENCE_FUT_5:TARGET_HIT_EXPANDED_5_STEP_TO_5.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,132.45,5.593331231218661,105.25,105.25,200,False,11096493-7e6e-53a6-ab7a-2288773cc93d,,,TRADE_GENERATOR,SRF26AUG2800PE,6,AUCTION_ADAPTIVE_V2,2,EXPAND,BUY,DR1812
,,3.3591223467282383,23952.44281530437,23934.871261217486,,2026-07-23T11:21:00,2026-07-23T11:21:00,FILLED,2026-07-23T11:21:00,NIFTY 50,23958.3,23918.95,1,VIRTUAL,2026-07-23T12:24:00,2026-07-23T12:24:00,39.35,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit:ADAPTIVE_TARGET:exit_on_current_adaptive_target,FILLED,FOLLOWER,EQ,39.35,39.35,23918.95,2026-07-23T12:24:00,FOLLOW_GROUP_REFERENCE_FUT_8:GROUP_MFE_RATCHET_MFE_2.01R_STOP_+0.50R,,,,23958.3,3.3591223467282383,23918.95,23958.3,1,False,cec39167-dc1d-597c-ae7b-2b1b6cad279c,,,TRADE_GENERATOR,NIFTY 50,7,AUCTION_ADAPTIVE_V2,2,PROTECT,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,2.0060832312100025,24013.64281530437,23996.071261217487,ALIGNED,2026-07-23T11:21:00,2026-07-23T11:21:00,FILLED,2026-07-23T11:21:00,NIFTY 50,24019.5,23996.0,65,VIRTUAL,2026-07-23T12:24:00,2026-07-23T12:24:00,1527.5,ADAPTIVE_TARGET,exit_on_current_adaptive_target,FILLED,REFERENCE,FUT,23.5,1527.5,23996.0,2026-07-23T12:24:00,PROTECT_GROUP_REFERENCE_STAGE_PROTECT_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_2.01R_STOP_+0.50R,TIGHTEN_STOP,CAUTION,COMPETING_SAME_SIDE_OPPORTUNITY_PROTECT,24021.1,2.0060832312100025,23996.0,24019.5,65,False,cec39167-dc1d-597c-ae7b-2b1b6cad279c,PROTECT,OPEN,TRADE_GENERATOR,NIFTY26AUGFUT,8,AUCTION_ADAPTIVE_V2,2,PROTECT,SELL,DR1812
,,3.474365425967962,319.928592347815,328.7143693912568,,2026-07-23T11:21:00,2026-07-23T11:21:00,FILLED,2026-07-23T11:21:00,NIFTY 50,317.0,337.35,65,VIRTUAL,2026-07-23T12:24:00,2026-07-23T12:24:00,1322.75,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit:ADAPTIVE_TARGET:exit_on_current_adaptive_target,FILLED,FOLLOWER,PE,20.35,1322.75,337.35,2026-07-23T12:24:00,FOLLOW_GROUP_REFERENCE_FUT_8:GROUP_MFE_RATCHET_MFE_2.01R_STOP_+0.50R,,,,337.35,3.474365425967962,317.0,317.0,65,False,cec39167-dc1d-597c-ae7b-2b1b6cad279c,,,TRADE_GENERATOR,NIFTY26AUG23950PE,9,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
,,-0.7743711034276749,1052.5804059286106,1055.0340098810177,,2026-07-23T14:24:00,2026-07-23T14:24:00,FILLED,2026-07-23T12:36:00,INFY,1048.9,1047.0,2,VIRTUAL,2026-07-23T14:39:00,2026-07-23T14:39:00,-3.8,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit:ADAPTIVE_STOP:exit_on_current_adaptive_stop,FILLED,FOLLOWER,EQ,-1.9,-3.8,1047.0,2026-07-23T14:39:00,FOLLOW_GROUP_REFERENCE_FUT_17:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,1053.3,1.7932804500430366,1047.0,1048.6,2,False,67b8ed49-1b3e-56fa-a6e8-bed1bf8ea4d3,,,TRADE_GENERATOR,INFY,16,AUCTION_ADAPTIVE_V2,2,EXPAND,BUY,DR1812
