action,confidence,entity_id,entity_type,evaluation_stage,id,new_state,payload_json,previous_state,reason_code,reason_text,symbol,ts,userid
CREATE,,de89da2b-1720-5888-a8ea-923a234caca7,SIGNAL,SIGNAL_GENERATOR,1,ACTIVE,"{""active_opportunity_key"": null, ""analytics"": {""last_pnl"": 0.0, ""last_pnl_value"": 0.0, ""max_pnl"": 0.0, ""max_pnl_value"": 0.0, ""max_price"": 13208.0, ""max_time"": ""2026-07-24T10:12:00+05:30"", ""min_pnl"": 0.0, ""min_pnl_value"": 0.0, ""min_price"": 13208.0, ""min_time"": ""2026-07-24T10:12:00+05:30""}, ""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""audit_mode"": ""PRODUCTION"", ""close"": 13208.0, ""competing_confirmed_opportunity"": false, ""current_candidate_id"": ""ACCEPT:MARUTI:3a8fc6ac8a4d1c15a0fb4acc"", ""current_opportunity_key"": ""OPPORTUNITY:5e1f2c187587f060a99f02d9"", ""directional_alignment"": ""ALIGNED"", ""ltp"": 13208.0, ""opportunity_lifecycle"": ""ELIGIBLE"", ""same_opportunity"": false, ""signal_action"": ""CREATE"", ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""signal_reason_code"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""signal_stage"": ""ACTIVE"", ""signal_status"": ""OPEN"", ""snapshot_time"": ""2026-07-24T10:12:00+05:30"", ""terminal"": false}",,AUCTION_CONFIRMED_SIGNAL_CREATED,CREATE:ACTIVE:AUCTION_CONFIRMED_SIGNAL_CREATED,MARUTI,2026-07-24T10:12:00,
ALLOW,,de89da2b-1720-5888-a8ea-923a234caca7,TRADE_DECISION,TRADE_GENERATOR,2,ACTIVE,"{""audit_mode"": ""PRODUCTION"", ""decision"": {""allowed"": true, ""decision"": ""ALLOW"", ""details"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:4db946722c27c651665f8d0f"", ""candidate_id"": ""ACCEPT:MARUTI:3a8fc6ac8a4d1c15a0fb4acc"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""duplicate_symbol_check"": {""equity_ref"": ""MARUTI"", ""family_has_active_trade"": false, ""policy"": ""one_active_trade_family_per_user_symbol""}, ""equity_ref"": ""MARUTI"", ""lifecycle_reason"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""mode"": ""AUTO"", ""opportunity_key"": ""OPPORTUNITY:5e1f2c187587f060a99f02d9"", ""setup_family"": ""ACCEPTED_BREAKOUT"", ""should_exit_signal"": false, ""side"": ""SELL"", ""signal_action"": ""CREATE"", ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""signal_stage"": ""ACTIVE"", ""signal_state"": ""READY"", ""signal_status"": ""OPEN"", ""symbol"": ""MARUTI"", ""userid"": ""DR1812""}, ""entry_decision"": ""ENTRY_ELIGIBLE"", ""ok"": true, ""reasons"": [], ""warnings"": []}, ""lifecycle_name"": ""DEFAULT"", ""originating_setup"": ""ACCEPTED_BREAKOUT"", ""result"": {""created"": [""EQ:MARUTI"", ""FUT:MARUTI26AUGFUT"", ""PE:MARUTI26AUG13200PE""], ""created_count"": 3, ""ok"": true, ""trade_ids"": [1, 2, 3], ""validation"": {""allowed"": true, ""decision"": ""ALLOW"", ""details"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:4db946722c27c651665f8d0f"", ""candidate_id"": ""ACCEPT:MARUTI:3a8fc6ac8a4d1c15a0fb4acc"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""duplicate_symbol_check"": {""equity_ref"": ""MARUTI"", ""family_has_active_trade"": false, ""policy"": ""one_active_trade_family_per_user_symbol""}, ""equity_ref"": ""MARUTI"", ""lifecycle_reason"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""mode"": ""AUTO"", ""opportunity_key"": ""OPPORTUNITY:5e1f2c187587f060a99f02d9"", ""setup_family"": ""ACCEPTED_BREAKOUT"", ""should_exit_signal"": false, ""side"": ""SELL"", ""signal_action"": ""CREATE"", ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""signal_stage"": ""ACTIVE"", ""signal_state"": ""READY"", ""signal_status"": ""OPEN"", ""symbol"": ""MARUTI"", ""userid"": ""DR1812""}, ""entry_decision"": ""ENTRY_ELIGIBLE"", ""ok"": true, ""reasons"": [], ""warnings"": []}}, ""side"": ""SELL"", ""signal"": {""first_seen_time"": ""2026-07-24T10:12:00"", ""last_eval_time"": ""2026-07-24T10:12:00"", ""last_snapshot_time"": ""2026-07-24T10:12:00"", ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7""}, ""snapshot_time"": ""2026-07-24T10:12:00""}",OPEN,allowed,AUCTION_CONFIRMED_SIGNAL_CREATED,MARUTI,2026-07-24T10:12:00,DR1812
CREATE_TRADE,,"1,2,3",TRADE,TRADE_GENERATOR,3,TRADE_CREATED,"{""audit_mode"": ""PRODUCTION"", ""lifecycle_name"": ""DEFAULT"", ""originating_setup"": ""ACCEPTED_BREAKOUT"", ""result"": {""created"": [""EQ:MARUTI"", ""FUT:MARUTI26AUGFUT"", ""PE:MARUTI26AUG13200PE""], ""created_count"": 3, ""ok"": true, ""trade_ids"": [1, 2, 3], ""validation"": {""allowed"": true, ""decision"": ""ALLOW"", ""details"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:4db946722c27c651665f8d0f"", ""candidate_id"": ""ACCEPT:MARUTI:3a8fc6ac8a4d1c15a0fb4acc"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""duplicate_symbol_check"": {""equity_ref"": ""MARUTI"", ""family_has_active_trade"": false, ""policy"": ""one_active_trade_family_per_user_symbol""}, ""equity_ref"": ""MARUTI"", ""lifecycle_reason"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""mode"": ""AUTO"", ""opportunity_key"": ""OPPORTUNITY:5e1f2c187587f060a99f02d9"", ""setup_family"": ""ACCEPTED_BREAKOUT"", ""should_exit_signal"": false, ""side"": ""SELL"", ""signal_action"": ""CREATE"", ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""signal_stage"": ""ACTIVE"", ""signal_state"": ""READY"", ""signal_status"": ""OPEN"", ""symbol"": ""MARUTI"", ""userid"": ""DR1812""}, ""entry_decision"": ""ENTRY_ELIGIBLE"", ""ok"": true, ""reasons"": [], ""warnings"": []}}, ""side"": ""SELL"", ""signal"": {""first_seen_time"": ""2026-07-24T10:12:00"", ""last_eval_time"": ""2026-07-24T10:12:00"", ""last_snapshot_time"": ""2026-07-24T10:12:00"", ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7""}, ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""snapshot_time"": ""2026-07-24T10:12:00"", ""trade_ids"": [1, 2, 3]}",SIGNAL_OPEN,trade_generator_allowed,AUCTION_CONFIRMED_SIGNAL_CREATED,MARUTI,2026-07-24T10:12:00,DR1812
ENTRY_FILLED,,1,TRADE,TRADE_EXECUTOR,4,ENTRY:FILLED|EXIT:NONE,"{""audit_mode"": ""PRODUCTION"", ""entry_order_id"": null, ""entry_status"": ""FILLED"", ""exec_status"": null, ""executed_entry_price"": 13208.0, ""executed_entry_qty"": 1, ""executed_exit_price"": null, ""executed_exit_qty"": 0, ""execution_mode"": ""VIRTUAL"", ""exit_order_id"": null, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": ""NONE"", ""instrument_type"": ""EQ"", ""planned_entry_price"": 13208.0, ""side"": ""SELL"", ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""updated_fields"": [""entry_exec_time"", ""entry_reconciled_at"", ""entry_status"", ""exec_last_checked_at"", ""exec_status"", ""exec_status_message"", ""executed_entry_price"", ""executed_entry_qty"", ""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_time"", ""max_price"", ""max_time"", ""min_price"", ""min_time"", ""reconcile_last_checked_at"", ""reconcile_status"", ""reconcile_status_message"", ""trade_management""]}",ENTRY:READY|EXIT:NONE,ENTRY_FILLED,ENTRY_FILLED,MARUTI,2026-07-24T10:12:00,DR1812
ENTRY_FILLED,,2,TRADE,TRADE_EXECUTOR,5,ENTRY:FILLED|EXIT:NONE,"{""audit_mode"": ""PRODUCTION"", ""entry_order_id"": null, ""entry_status"": ""FILLED"", ""exec_status"": null, ""executed_entry_price"": 13134.0, ""executed_entry_qty"": 50, ""executed_exit_price"": null, ""executed_exit_qty"": 0, ""execution_mode"": ""VIRTUAL"", ""exit_order_id"": null, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": ""NONE"", ""instrument_type"": ""FUT"", ""planned_entry_price"": 13134.0, ""side"": ""SELL"", ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""updated_fields"": [""entry_exec_time"", ""entry_reconciled_at"", ""entry_status"", ""exec_last_checked_at"", ""exec_status"", ""exec_status_message"", ""executed_entry_price"", ""executed_entry_qty"", ""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_time"", ""max_price"", ""max_time"", ""min_price"", ""min_time"", ""reconcile_last_checked_at"", ""reconcile_status"", ""reconcile_status_message"", ""trade_management""]}",ENTRY:READY|EXIT:NONE,ENTRY_FILLED,ENTRY_FILLED,MARUTI26AUGFUT,2026-07-24T10:12:00,DR1812
ENTRY_FILLED,,3,TRADE,TRADE_EXECUTOR,6,ENTRY:FILLED|EXIT:NONE,"{""audit_mode"": ""PRODUCTION"", ""entry_order_id"": null, ""entry_status"": ""FILLED"", ""exec_status"": null, ""executed_entry_price"": 455.7, ""executed_entry_qty"": 50, ""executed_exit_price"": null, ""executed_exit_qty"": 0, ""execution_mode"": ""VIRTUAL"", ""exit_order_id"": null, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": ""NONE"", ""instrument_type"": ""PE"", ""planned_entry_price"": 455.7, ""side"": ""BUY"", ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""updated_fields"": [""entry_exec_time"", ""entry_reconciled_at"", ""entry_status"", ""exec_last_checked_at"", ""exec_status"", ""exec_status_message"", ""executed_entry_price"", ""executed_entry_qty"", ""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_time"", ""max_price"", ""max_time"", ""min_price"", ""min_time"", ""reconcile_last_checked_at"", ""reconcile_status"", ""reconcile_status_message"", ""trade_management""]}",ENTRY:READY|EXIT:NONE,ENTRY_FILLED,ENTRY_FILLED,MARUTI26AUG13200PE,2026-07-24T10:12:00,DR1812
MONITOR,,2,TRADE,TRADE_MONITOR,7,NONE,"{""audit_mode"": ""PRODUCTION"", ""basis_price"": 13134.0, ""entry_price"": 13134.0, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": null, ""instrument_type"": ""FUT"", ""last_price"": 13134.0, ""management"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""current_profit_r"": 0.0, ""current_stop_price"": 13196.7534013533, ""current_target_price"": 13092.1643990978, ""directional_alignment"": ""ALIGNED"", ""exit_pressure"": ""LOW"", ""expansion_count"": 0, ""last_target_hit_price"": null, ""last_update_reason"": ""HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""management_reason_code"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""max_favorable_price"": 13134.0, ""mfe_profit_r"": 0.0, ""mode"": ""AUCTION_ADAPTIVE_V2"", ""posture"": ""HOLD"", ""profit_protection_applied"": false, ""should_exit_signal"": false, ""signal_stage"": ""ACTIVE"", ""signal_status"": ""OPEN"", ""stop_r_multiple"": 3.0, ""target_expansion_allowed"": true, ""target_r_multiple"": 2.0, ""trail_mode"": ""NORMAL"", ""version"": 2}, ""pnl_per_unit"": 0.0, ""pnl_value"": 0.0, ""side"": ""SELL"", ""signal_contract"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:4db946722c27c651665f8d0f"", ""candidate_id"": ""ACCEPT:MARUTI:3a8fc6ac8a4d1c15a0fb4acc"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""management_reason_code"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""opportunity_key"": ""OPPORTUNITY:5e1f2c187587f060a99f02d9"", ""should_exit_signal"": false, ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""stage"": ""ACTIVE"", ""status"": ""OPEN""}, ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""update_fields"": [""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_snapshot"", ""last_time"", ""trade_management""]}",NONE,monitor_update,monitor_update,MARUTI26AUGFUT,2026-07-24T10:12:00,DR1812
MONITOR,,1,TRADE,TRADE_MONITOR,8,NONE,"{""audit_mode"": ""PRODUCTION"", ""basis_price"": 13208.0, ""entry_price"": 13208.0, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": null, ""instrument_type"": ""EQ"", ""last_price"": 13208.0, ""management"": {""auction_action"": null, ""auction_state"": null, ""current_profit_r"": 0.0, ""current_stop_price"": 13270.7534013533, ""current_target_price"": 13166.1643990978, ""directional_alignment"": null, ""exit_pressure"": ""LOW"", ""expansion_count"": 0, ""last_target_hit_price"": null, ""last_update_reason"": ""FOLLOW_GROUP_REFERENCE_FUT_2:CREATE"", ""lifecycle_trade_action"": null, ""management_posture"": null, ""management_reason_code"": null, ""max_favorable_price"": 13208.0, ""mfe_profit_r"": 0.0, ""mode"": ""AUCTION_ADAPTIVE_V2"", ""posture"": ""HOLD"", ""profit_protection_applied"": false, ""should_exit_signal"": false, ""signal_stage"": null, ""signal_status"": null, ""stop_r_multiple"": 3.0, ""target_expansion_allowed"": true, ""target_r_multiple"": 2.0, ""trail_mode"": ""NORMAL"", ""version"": 2}, ""pnl_per_unit"": 0.0, ""pnl_value"": 0.0, ""side"": ""SELL"", ""signal_contract"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:4db946722c27c651665f8d0f"", ""candidate_id"": ""ACCEPT:MARUTI:3a8fc6ac8a4d1c15a0fb4acc"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""management_reason_code"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""opportunity_key"": ""OPPORTUNITY:5e1f2c187587f060a99f02d9"", ""should_exit_signal"": false, ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""stage"": ""ACTIVE"", ""status"": ""OPEN""}, ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""update_fields"": [""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_snapshot"", ""last_time"", ""trade_management""]}",NONE,monitor_update,monitor_update,MARUTI,2026-07-24T10:12:00,DR1812
MONITOR,,3,TRADE,TRADE_MONITOR,9,NONE,"{""audit_mode"": ""PRODUCTION"", ""basis_price"": 455.7, ""entry_price"": 455.7, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": null, ""instrument_type"": ""PE"", ""last_price"": 455.7, ""management"": {""auction_action"": null, ""auction_state"": null, ""current_profit_r"": 0.0, ""current_stop_price"": 432.1674744925128, ""current_target_price"": 476.61780045109975, ""directional_alignment"": null, ""exit_pressure"": ""LOW"", ""expansion_count"": 0, ""last_target_hit_price"": null, ""last_update_reason"": ""FOLLOW_GROUP_REFERENCE_FUT_2:CREATE"", ""lifecycle_trade_action"": null, ""management_posture"": null, ""management_reason_code"": null, ""max_favorable_price"": 455.7, ""mfe_profit_r"": 0.0, ""mode"": ""AUCTION_ADAPTIVE_V2"", ""posture"": ""HOLD"", ""profit_protection_applied"": false, ""should_exit_signal"": false, ""signal_stage"": null, ""signal_status"": null, ""stop_r_multiple"": 2.25, ""target_expansion_allowed"": true, ""target_r_multiple"": 2.0, ""trail_mode"": ""NORMAL"", ""version"": 2}, ""pnl_per_unit"": 0.0, ""pnl_value"": 0.0, ""side"": ""BUY"", ""signal_contract"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:4db946722c27c651665f8d0f"", ""candidate_id"": ""ACCEPT:MARUTI:3a8fc6ac8a4d1c15a0fb4acc"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""management_reason_code"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""opportunity_key"": ""OPPORTUNITY:5e1f2c187587f060a99f02d9"", ""should_exit_signal"": false, ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""stage"": ""ACTIVE"", ""status"": ""OPEN""}, ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""update_fields"": [""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_snapshot"", ""last_time"", ""trade_management""]}",NONE,monitor_update,monitor_update,MARUTI26AUG13200PE,2026-07-24T10:12:00,DR1812
HOLD,,de89da2b-1720-5888-a8ea-923a234caca7,SIGNAL,SIGNAL_GENERATOR,10,ACTIVE,"{""active_opportunity_key"": ""OPPORTUNITY:5e1f2c187587f060a99f02d9"", ""analytics"": {""last_pnl"": -0.1136, ""last_pnl_value"": -15.0, ""max_pnl"": 0.0, ""max_pnl_value"": 0.0, ""max_price"": 13223.0, ""max_time"": ""2026-07-24T10:15:00+05:30"", ""min_pnl"": -0.1136, ""min_pnl_value"": -15.0, ""min_price"": 13208.0, ""min_time"": ""2026-07-24T10:12:00""}, ""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""audit_mode"": ""PRODUCTION"", ""close"": 13223.0, ""competing_confirmed_opportunity"": false, ""current_candidate_id"": ""ACCEPT:MARUTI:3a8fc6ac8a4d1c15a0fb4acc"", ""current_opportunity_key"": ""OPPORTUNITY:5e1f2c187587f060a99f02d9"", ""directional_alignment"": ""ALIGNED"", ""ltp"": 13223.0, ""opportunity_lifecycle"": ""ELIGIBLE"", ""same_opportunity"": true, ""signal_action"": ""HOLD"", ""signal_id"": ""de89da2b-1720-5888-a8ea-923a234caca7"", ""signal_reason_code"": ""AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED"", ""signal_stage"": ""ACTIVE"", ""signal_status"": ""OPEN"", ""snapshot_time"": ""2026-07-24T10:15:00+05:30"", ""terminal"": false}",ACTIVE,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,MARUTI,2026-07-24T10:15:00,
