symbol,section,state,boundary_status,resolution,count,total_symbol_snapshots,pct_of_symbol_snapshots,from_state,to_state,candidate_family,candidate_subtype,candidate_eligibility,unique_candidate_count,unique_opportunity_count,candidate_record_count
__ALL__,STATE_COUNT,BOUNDARY_INTERACTION,,,2,125,1.6,,,,,,,,
__ALL__,STATE_COUNT,CHAOTIC_ROTATION,,,8,125,6.4,,,,,,,,
__ALL__,STATE_COUNT,CONTROLLED_PULLBACK,,,13,125,10.4,,,,,,,,
__ALL__,STATE_COUNT,FRESH_EXPANSION,,,2,125,1.6,,,,,,,,
__ALL__,STATE_COUNT,MATURE_EXTENSION,,,2,125,1.6,,,,,,,,
__ALL__,STATE_COUNT,ORDERLY_DOWNTREND,,,22,125,17.6,,,,,,,,
__ALL__,STATE_COUNT,ORDERLY_UPTREND,,,32,125,25.6,,,,,,,,
__ALL__,STATE_COUNT,REACCELERATION,,,10,125,8.0,,,,,,,,
__ALL__,STATE_COUNT,RECOMPRESSION,,,14,125,11.2,,,,,,,,
__ALL__,STATE_COUNT,REVERSAL,,,6,125,4.8,,,,,,,,
__ALL__,STATE_COUNT,TREND_FAILURE,,,8,125,6.4,,,,,,,,
__ALL__,STATE_COUNT,UNKNOWN,,,6,125,4.8,,,,,,,,
__ALL__,BOUNDARY_STATUS_COUNT,,ACCEPTANCE_BUILDING,,6,125,4.8,,,,,,,,
__ALL__,BOUNDARY_STATUS_COUNT,,ACCEPTED,,59,125,47.2,,,,,,,,
__ALL__,BOUNDARY_STATUS_COUNT,,APPROACHING,,6,125,4.8,,,,,,,,
__ALL__,BOUNDARY_STATUS_COUNT,,FAILED,,5,125,4.0,,,,,,,,
__ALL__,BOUNDARY_STATUS_COUNT,,FAILURE_BUILDING,,2,125,1.6,,,,,,,,
__ALL__,BOUNDARY_STATUS_COUNT,,OUTSIDE_ATTEMPT,,7,125,5.6,,,,,,,,
__ALL__,BOUNDARY_TERMINAL_RESOLUTION,,,ACCEPTED,5,125,,,,,,,,,
__ALL__,BOUNDARY_TERMINAL_RESOLUTION,,,FAILED,2,125,,,,,,,,,
__ALL__,TRANSITION_COUNT,,,,1,125,,BOUNDARY_INTERACTION,FRESH_EXPANSION,,,,,,
